text,label
nộp thuế thu nhập cá nhân 2tr,Hóa đơn
mua vé thu phí cầu đường 80k,Di chuyển
# --- Bẫy: “bán” trong câu mua ---
mua bán đồ chợ 100k,Mua sắm
đi chợ mua rau củ 80k,Ăn uống
# --- Demo / hỏi vặn thường gặp khi bảo vệ ---
nhận tiền mừng tân gia 2tr,Thu nhập khác
được mừng khai trương 500k,Thu nhập khác
nhận hỗ trợ từ bạn 300k,Thu nhập khác
chuyển khoản nhận từ khách hàng 4tr,Bán hàng
khách chuyển tiền đặt hàng 1tr5,Bán hàng
nhận đặt cọc thuê nhà 5tr,Thu nhập khác
trả đặt cọc nhận lại 5tr,Thu nhập khác
tiền thừa momo hoàn 20k,Thu nhập khác
lãi suất ngân hàng tháng 45k,Đầu tư
cổ phiếu bán lãi 3tr,Đầu tư
nhận tiền dạy kèm 600k,Freelance
làm thêm cuối tuần 500k,Freelance
part time cửa hàng 2tr,Freelance
shipper nhận tiền công 3tr,Freelance
cho vay bạn 1tr,Khác
mượn bạn 500k trả lại,Khác
trả nợ ngân hàng 5tr,Hóa đơn
trả góp điện thoại 800k,Mua sắm
cắt tóc + gội đầu 120k,Mua sắm
nhuộm tóc salon 400k,Mua sắm
mua sim điện thoại 150k,Mua sắm
nạp tiền điện thoại 100k,Hóa đơn
mua data 4G 50k,Hóa đơn
đóng học phí đại học 12tr,Giáo dục
mua vở bút học sinh 80k,Giáo dục
tiền ăn ký túc xá 1tr5,Ăn uống
canteen trường 35k,Ăn uống
mua đồ ăn siêu thị nấu 200k,Ăn uống
order food delivery 90k,Ăn uống
đặt bàn nhà hàng sinh nhật 1tr,Ăn uống
tiệc cưới bạn 500k,Ăn uống
đi bar uống cocktail 300k,Giải trí
chơi game nạp thẻ 200k,Giải trí
steam mua game 250k,Giải trí
vé concert 800k,Giải trí
câu cá cuối tuần 150k,Giải trí
leo núi phí tour 600k,Du lịch
visa du lịch 3tr,Du lịch
bảo hiểm du lịch 200k,Du lịch
khám covid test 300k,Sức khỏe
nhổ răng khẩn 2tr,Sức khỏe
mua kính cận 1tr,Sức khỏe
thuốc lá 50k,Khác
mua bình gas 350k,Nhà ở
thuê máy giặt 100k,Nhà ở
giặt là ủi đồ 60k,Khác
sửa điều hòa 500k,Nhà ở
mua quạt điện 400k,Nhà ở
phí ATM rút tiền 5k,Hóa đơn
phí duy trì thẻ 99k,Hóa đơn
chuyển khoản liên ngân hàng 10k,Hóa đơn
đóng bảo hiểm xã hội 800k,Hóa đơn
phạt giao thông 500k,Di chuyển
sửa xe sau va quẹt 2tr,Di chuyển
rửa xe ô tô 100k,Di chuyển
đăng kiểm xe 200k,Di chuyển
mua vé xe khách về quê 250k,Di chuyển
vé tàu lễ 400k,Di chuyển
# --- Cặp đối lập cho thầy so sánh (nhận vs cho cùng ngữ cảnh) ---
nhận quà sinh nhật từ sếp 500k,Thu nhập khác
tặng quà sinh nhật cho sếp 500k,Quà tặng
nhận tiền mừng cưới 1tr,Thu nhập khác
mừng cưới bạn 1tr,Quà tặng
nhận lì xì 200k,Thu nhập khác
cho lì xì con 200k,Quà tặng
được mẹ cho tiền tiêu vặt 500k,Thu nhập khác
cho con tiền tiêu vặt 500k,Gia đình
nhận lương 10tr,Lương
trả lương nhân viên 10tr,Khác
nhận thưởng dự án 2tr,Thưởng
chi thưởng nhân viên 2tr,Khác
# --- Không dấu / lỗi gõ phổ biến ---
nhan tien mung sinh nhat 500k,Thu nhập khác
cho ban mung cuoi 500k,Quà tặng
an sang banh mi 20k,Ăn uống
di cho mua do 300k,Mua sắm
tien dien thang 400k,Hóa đơn
nhan luong thang 6 12tr,Lương
hoan tien don hang 100k,Thu nhập khác
# --- Số + đơn vị lẫn lộn ---
500k nhận mừng sinh nhật,Thu nhập khác
300k tặng bạn cưới,Quà tặng
50k ăn sáng,Ăn uống
2tr tiền nhà tháng 6,Nhà ở
15tr lương về,Lương
# --- Viết tắt / câu ngắn (hay dùng trên app) ---
ck tiền trọ,Nhà ở
ck tien tro,Nhà ở
dt mới 15tr,Mua sắm
dt moi 15tr,Mua sắm
mb ck freelance,Freelance
đầu tư coin lời 2tr,Đầu tư
dau tu coin loi 2tr,Đầu tư
nhận lãi crypto 500k,Đầu tư
ck freelance 3tr,Freelance
mua dt mới 12tr,Mua sắm
tiền trọ tháng 5 2tr5,Nhà ở
